id,candidate_id,previous_status,new_status,status_change_date,changed_by,change_source,notes,cycle_time_days,created_at
1041,1397,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1042,1398,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1043,1399,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1044,1406,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1045,1407,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1046,1408,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1047,1409,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1048,1415,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1049,1417,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1050,1420,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1051,1421,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1052,1422,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1053,1423,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1063,1313,Sent to client,Screening,2025-08-09 00:22:51.245430,system,manual,,1,2025-08-09 00:22:51.245430
1064,1498,Sent to client,Screening,2025-08-09 00:22:51.245430,system,manual,,1,2025-08-09 00:22:51.245430
1065,1501,Sent to client,Screening,2025-08-09 00:22:51.245430,system,manual,,1,2025-08-09 00:22:51.245430
1066,1503,Sent to client,Screening,2025-08-09 00:22:51.245430,system,manual,,1,2025-08-09 00:22:51.245430
1067,1505,Sent to client,Screening,2025-08-09 00:22:51.245430,system,manual,,1,2025-08-09 00:22:51.245430
1068,1509,Sent to client,Screening,2025-08-09 00:22:51.245430,system,manual,,1,2025-08-09 00:22:51.245430
1069,1296,Sent to client,Screening,2025-08-09 00:22:51.245430,system,manual,,1,2025-08-09 00:22:51.245430
1070,1298,Sent to client,Screening,2025-08-09 00:22:51.245430,system,manual,,1,2025-08-09 00:22:51.245430
1071,1497,Sent to client,Screening,2025-08-09 00:22:51.245430,system,manual,,1,2025-08-09 00:22:51.245430
1072,1313,Screening,Sent to client,2025-08-09 00:24:27.309770,system,manual,,0,2025-08-09 00:24:27.309770
1073,1498,Screening,Sent to client,2025-08-09 00:24:27.309770,system,manual,,0,2025-08-09 00:24:27.309770
1074,1501,Screening,Sent to client,2025-08-09 00:24:27.309770,system,manual,,0,2025-08-09 00:24:27.309770
1075,1503,Screening,Sent to client,2025-08-09 00:24:27.309770,system,manual,,0,2025-08-09 00:24:27.309770
1076,1505,Screening,Sent to client,2025-08-09 00:24:27.309770,system,manual,,0,2025-08-09 00:24:27.309770
1077,1509,Screening,Sent to client,2025-08-09 00:24:27.309770,system,manual,,0,2025-08-09 00:24:27.309770
1078,1296,Screening,Sent to client,2025-08-09 00:24:27.309770,system,manual,,0,2025-08-09 00:24:27.309770
1079,1298,Screening,Sent to client,2025-08-09 00:24:27.309770,system,manual,,0,2025-08-09 00:24:27.309770
1080,1497,Screening,Sent to client,2025-08-09 00:24:27.309770,system,manual,,0,2025-08-09 00:24:27.309770
